Product Number,Name (Base),Price,Override Attributes,"10""","12""","14""","16""",LG Size,Price 2 Decimals NEW,SM Size
1111303,1 Topping Pizza,,Y,10.45,13.70,16.95,19.90,,,
10026,ALL MEAT,,Y,14.20,18.85,23.05,27.05,,,
99995,B.L.T.,9.40,,,,,,,,
10101,BAKED LASAGNA,9.95,,,,,,,,
1339,BAKED SPAGHETTI,9.40,,,,,,,,
10027,BBQ CHICKEN,,Y,11.90,15.70,19.40,22.70,,,
31429,BONELESS WINGS,,Y,,,,,(24) 28.30,,(8) 10.20
10067,CAESAR  SALAD,,Y,,,,,7.30,,4.95
1111403,CHEESE,,Y,10.45,13.70,16.95,19.90,,,
999918,Cheesecake,4.15,Y,,,,,,4.95,
10066,CHEF,,Y,,,,,9.40,,6.25
10422,CHICKEN TENDERS,,Y,,,,,(12) 24.95,,(4) 8.59
31428,CHICKEN WINGS,,Y,,,,,(24) 33.95,,(8) 12.35
48,CinnImos,4.70,Y,,,,,,4.70,
333,CRISPY CHICKEN CLUB,9.40,,,,,,,,
10024,Deluxe,,Y,14.20,18.85,23.05,27.05,,,
3413,GARLIC CHEESE BREAD,,Y,,,,,4.70,,
10147,HAM & CHEESE,9.40,,,,,,,,
3422,IMO FRIES,,Y,,,,,4.45,,
3423,IMO'S EXTRA SPECIAL,9.40,,,,,,,,
10148,MEATBALL & CHEESE,9.40,,,,,,,,
3416,MOZZARELLA STICKS,,Y,,,,,(24) 22.80,,(8) 8.00
3452,PROVEL BITES,,Y,,,,,(16) 8.00,,
10145,ROAST BEEF & CHEESE,9.40,,,,,,,,
10146,SALAMI & CHEESE,9.40,,,,,,,,
3415,Toasted Ravioli,,Y,,,,,(24) 22.80,,(8) 8.05
10150,TURKEY CLUB,9.40,,,,,,,,
3397,VEGGIE,,Y,14.20,18.80,23.05,27.05,,,
900733,HOUSE,,Y,,,,,6.55,,4.45
900734,DELUXE,,Y,,,,,8.35,,5.20
905841,Great Tastes of St. Louis,27.99,,,,,,,,
905844,Square Meal Deal,27.99,,,,,,,,
905945,Fountain,,Y,,,,,2.55,,2.35
905946,Bottled,,Y,,,,,3.95,,2.60
936221,BREAD BITES,,Y,,,,,(6) 4.45,,
968589,Additional Toppings,,Y,1.55,2.00,2.40,2.80,,,
1000,SWEET HEAT,,Y,13.99,17.99,21.99,25.99,,,
1001,Ted Drewes Ice Cream,,,,,,,,,
1002,DOUBLE PEPPERONI,,,,,,,,,
1003,CHICKEN BACON RANCH,,,,,,,,,
1004,BUFFALO CHICKEN,,,,,,,,,
1005,CHEESE ONLY,,,,,,,,,
1006,BUILD YOUR OWN,,,,,,,,,
1000992,Brownie,,,,,,,,,
100093,Gooey Butter Cake,,,,,,,,,
1339 (Copy),BAKED MOSTACCIOLI,9.40,,,,,,,,
2026,Chicken Bacon Ranch,,,,,,,,,
